Country	City	PM10	Year	Notes	Notes	PM2	Year
France	BAYONNE	19	2014	"1 station, Background urban"	measured data	8	2014
France	BEAUVAIS	22	2014	"1 station, Traffic urban"	measured data	15	2014
France	BELFORT	16	2014	"1 station, Traffic urban"	measured data	10	2014
France	BELLEVILLE-SUR-MEUSE	22	2014	-	converted from PM2.5	14	2014
France	BESANCON	22	2014	"2 stations, Background urban"	measured data	14	2014
France	BESSIERES	18	2014	"1 station, Industrial rural"	measured data	11	2014
France	BETHENY	19	2014	"1 station, Background suburban"	measured data	12	2014
France	BETHUNE	21	2014	"1 station, Background urban"	measured data	13	2014
France	BILLERE	16	2014	"1 station, Background urban"	measured data	10	2014
France	BIZANOS	15	2014	"1 station, Background urban"	measured data	9	2014
France	BLENOD-LES-PONT-A-MOUSSON	18	2014	"1 station, Industrial suburban"	measured data	11	2014
France	BLOIS	16	2014	"1 station, Background urban"	measured data	10	2014
France	BOBIGNY	22	2014	"1 station, Background urban"	measured data	14	2014
France	BOIS-HERPIN	17	2014	"1 station, Background rural"	measured data	8	2014
France	BORDEAUX	22	2014	"3 stations, background urban, traffic, urban"	measured data	14	2014
France	BOULOGNE-SUR-MER	23	2014	"1 station, Traffic urban"	measured data	14	2014
France	BOURG-EN-BRESSE	17	2014	"1 station, Background urban"	measured data	11	2014
France	BOURGES	19	2014	"2 stations, background urban, traffic urban"	measured data	12	2014
France	BOURG-LES-VALENCE	20	2014	"1 station, Traffic urban"	measured data	14	2014
France	BOURGOIN-JALLIEU	16	2014	"1 station, Background urban"	measured data	10	2014
France	BREST	20	2014	"2 stations, background urban, traffic urban"	measured data	13	2014
France	BRIVE-LA-GAILLARDE	21	2014	"1 station, Background urban"	measured data	13	2014
France	CAEN	20	2014	"2 stations, Background urban"	measured data	11	2014
France	CAGNES-SUR-MER	23	2014	"1 station, Background urban"	measured data	14	2014
France	CALAIS	22	2014	"2 stations, Background urban"	measured data	15	2014
France	CAMBRAI	21	2014	"1 station, Background urban"	measured data	11	2014
France	CAMPAGNE-LES-BOULONNAIS	19	2014	"1 station, Background urban"	measured data	14	2014
France	CANNES	22	2014	"1 station, Background urban"	measured data	14	2014
France	CAPPELLE-LA-GRANDE	24	2014	-	converted from PM2.5	15	2014
France	CARLING	16	2014	"1 station, Industrial urban"	measured data	10	2014
France	CARTIGNIES	16	2014	"1 station, Background rural"	measured data	10	2014
France	CASTRES	15	2014	"1 station, Background urban"	measured data	9	2014
France	CAYENNE	33	2014	"1 station, Background urban"	measured data	15	2014
France	CERGY	20	2014	"1 station, Background urban"	measured data	12	2014
France	CERISE	17	2014	"1 station, Background suburban"	measured data	11	2014
France	CHALONS-EN-CHAMPAGNE	19	2014	"1 station, Background urban"	measured data	12	2014
France	CHALON-SUR-SAONE	18	2014	"1 station, Traffic urban"	measured data	13	2014
France	CHAMALIERES	19	2014	"1 station, Traffic urban"	measured data	12	2014
France	CHAMBERY	20	2014	"2 stations, Background urban"	measured data	15	2014
France	CHAMONIX-MONT-BLANC	18	2014	"2 stations, background urban, traffic urban"	measured data	11	2014
France	CHAMPFORGEUIL	13	2014	"1 station, Background suburban"	measured data	8	2014
France	CHARLEVILLE-MEZIERES	20	2014	"1 station, Background urban"	measured data	12	2014
France	CHATEAUNEUF-LES-MARTIGUES	25	2014	"1 station, Background urban"	measured data	16	2014
France	CHATEAUROUX	16	2014	"1 station, Background urban"	measured data	10	2014
France	CHATENOIS	10	2014	"1 station, Industrial suburban"	measured data	6	2014
France	CHAUNY	19	2014	"1 station, Background urban"	measured data	12	2014
France	CHERBOURG-OCTEVILLE	20	2014	"1 station, Background urban"	measured data	12	2014
France	CHOLET	18	2014	"1 station, Background urban"	measured data	11	2014
France	CLERMONT-FERRAND	17	2014	"3 stations, background urban, traffic, urban"	measured data	11	2014
France	COGNAC	17	2014	"1 station, Background urban"	measured data	11	2014
France	COLMAR	19	2014	"1 station, Background urban"	measured data	12	2014
France	CONTES	27	2014	"1 station, Industrial suburban"	measured data	17	2014
France	COULOMMIERS	31	2014	"1 station, Traffic urban"	measured data	19	2014
France	CREIL	20	2014	"1 station, Background urban"	measured data	13	2014
France	CROLLES	20	2014	"1 station, Background suburban"	measured data	12	2014
France	DAIX	18	2014	"1 station, Background suburban"	measured data	11	2014
France	DAX	17	2014	"1 station, Background urban"	measured data	12	2014
France	DENAIN	20	2014	"1 station, Background urban"	measured data	12	2014
France	DIEPPE	26	2014	"1 station, Traffic urban"	measured data	16	2014
France	DIJON	14	2014	"3 stations, background urban, traffic, urban"	measured data	12	2014
France	DOLE	15	2014	"1 station, Background urban"	measured data	9	2014
France	DONGES	17	2014	"1 station, Industrial urban"	measured data	11	2014
France	DOUAI	21	2014	"1 station, Background urban"	measured data	16	2014
France	DREUX	15	2014	"1 station, Background urban"	measured data	9	2014
France	DUNKERQUE	23	2014	"3 stations, Background urban"	measured data	16	2014
France	ECHIROLLES	28	2014	"1 station, Traffic urban"	measured data	15	2014
France	EPERNAY	22	2014	"1 station, Traffic urban"	measured data	14	2014
France	EPINAL	15	2014	"1 station, Background urban"	measured data	9	2014
France	ESCAUTPONT	19	2014	"1 station, Industrial suburban"	measured data	12	2014
France	EVREUX	18	2014	"1 station, Background urban"	measured data	11	2014
France	FEYZIN	23	2014	"1 station, Industrial suburban"	measured data	14	2014
France	FLEVILLE-DEVANT-NANCY	17	2014	"1 station, Background suburban"	measured data	11	2014
France	FLORANGE	25	2014	"1 station, Industrial suburban"	measured data	16	2014
France	FONTAINE	20	2014	"1 station, Background urban"	measured data	12	2014
France	FONTAINEBLEAU	14	2014	-	converted from PM2.5	9	2014
France	FORBACH	25	2014	"1 station, Background urban"	measured data	16	2014
France	FORT-DE-FRANCE	33	2014	"2 stations, Background urban"	measured data	10	2014
France	FOS-SUR-MER	25	2014	"1 station, Background urban"	measured data	16	2014
France	FREMAINVILLE	17	2014	"1 station, Background rural"	measured data	11	2014
France	FROLOIS	21	2014	"1 station, Industrial suburban"	measured data	13	2014
France	FROSSAY	16	2014	"1 station, Industrial suburban"	measured data	10	2014
France	GAILLARD	18	2014	"1 station, Background urban"	measured data	11	2014
France	GANDRANGE	21	2014	"1 station, Industrial suburban"	measured data	13	2014
France	GAP	21	2014	"2 stations, Background urban"	measured data	13	2014
France	GARDANNE	29	2014	"1 station, Industrial suburban"	measured data	14	2014
France	GENAS	21	2014	"1 station, Background suburban"	measured data	13	2014
France	GENNEVILLIERS	22	2014	"1 station, Background urban"	measured data	14	2014
France	GONESSE	22	2014	-	converted from PM2.5	14	2014
France	GRAND-COURONNE	19	2014	"1 station, Industrial urban"	measured data	12	2014
France	GRANDE-SYNTHE	27	2014	"1 station, Industrial suburban"	measured data	17	2014
France	GRAVELINES	21	2014	"1 station, Industrial suburban"	measured data	13	2014
France	GRENOBLE	24	2014	"2 stations, background urban, traffic urban"	measured data	12	2014
France	GUERET	15	2014	"1 station, Background rural"	measured data	9	2014
France	GUIPRY	13	2014	"1 station, Background rural"	measured data	10	2014
France	HAYANGE	19	2014	"2 stations, Industrial urban"	measured data	12	2014
France	HEMING	22	2014	"1 station, Industrial rural"	measured data	14	2014
France	HORNAING	21	2014	"1 station, Industrial suburban"	measured data	13	2014
France	HYERES	19	2014	"1 station, Background urban"	measured data	12	2014
France	IFS	20	2014	"1 station, Background suburban"	measured data	12	2014
France	ISSOIRE	14	2014	"1 station, Background urban"	measured data	9	2014
France	ISSOUDUN	10	2014	"1 station, traffic urban"	measured data	11	2014
France	JONVILLE-EN-WOEVRE	21	2014	"1 station, Background rural"	measured data	15	2014
France	JOUE-LES-TOURS	19	2014	-	converted from PM2.5	12	2014
France	LA COULONCHE	14	2014	"1 station, Background rural"	measured data	9	2014
France	LA COURONNE	16	2014	"1 station, Background suburban"	measured data	10	2014
France	LA LECHERE	25	2014	"1 station, Industrial rural"	measured data	16	2014
France	LA MULATIERE	30	2014	"1 station, Traffic urban"	measured data	17	2014
France	LA ROCHELLE	24	2014	"5 stations, Background urban"	measured data	10	2014
France	LA ROCHE-SUR-YON	20	2014	"1 station, Background urban"	measured data	12	2014
France	LA TALAUDIERE	18	2014	"1 station, Background suburban"	measured data	11	2014
France	LA TARDIERE	14	2014	"1 station, Background rural"	measured data	10	2014
France	LABASTIDE-CEZERACQ	18	2014	"1 station, Background rural"	measured data	11	2014
France	LAVAL	14	2014	"1 station, Background urban"	measured data	9	2014
France	LE CREUSOT	18	2014	-	converted from PM2.5	11	2014
France	LE HAVRE	20	2014	"4 stations, Background urban"	measured data	13	2014
France	LE LAMENTIN	27	2014	"1 station, Background urban"	measured data	17	2014
France	LE MANS	17	2014	"1 station, Background urban"	measured data	13	2014
France	LE PALAIS-SUR-VIENNE	12	2014	"1 station, Background suburban"	measured data	7	2014
France	LE PETIT-QUEVILLY	22	2014	"1 station, Background urban"	measured data	14	2014
France	LE PONTET	24	2014	"1 station, Background suburban"	measured data	15	2014
France	LE PUY-EN-VELAY	18	2014	"1 station, Traffic urban"	measured data	11	2014
France	LE ROBERT	31	2014	"1 station, Traffic urban"	measured data	19	2014
France	LE TAMPON	7	2014	"1 station, Background rural"	measured data	4	2014
France	LENS	17	2014	"1 station, Background urban"	measured data	11	2014
France	LES ABYMES	22	2014	"1 station, Industrial rural"	measured data	14	2014
France	LES ANCIZES-COMPS	11	2014	"1 station, Industrial rural"	measured data	7	2014
France	LES MAZURES	13	2014	"1 station, Background rural"	measured data	9	2014
France	L'HOPITAL	15	2014	"1 station, Industrial urban"	measured data	9	2014
France	LILLE	22	2014	"1 station, Background urban"	measured data	17	2014
France	LIMOGES	15	2014	"2 stations, background urban, traffic urban"	measured data	9	2014
France	LISIEUX	18	2014	"1 station, Background urban"	measured data	11	2014
France	LOGNES	20	2014	"1 station, Background suburban"	measured data	12	2014
France	LONGLAVILLE	16	2014	"1 station, Background suburban"	measured data	10	2014
France	LONS-LE-SAUNIER	22	2014	"1 station, Background urban"	measured data	12	2014
France	LORIENT	19	2014	"1 station, Background urban"	measured data	11	2014
France	LOURDES	14	2014	"1 station, Background urban"	measured data	10	2014
France	LUCCIANA	17	2014	"1 station, Industrial rural"	measured data	11	2014
France	LUCE	16	2014	"1 station, Background urban"	measured data	11	2014
France	LUNEL-VIEL	18	2014	"1 station, Industrial suburban"	measured data	10	2014
France	LUNEVILLE	19	2014	-	converted from PM2.5	12	2014
France	LYON	22	2014	"2 stations, Background urban"	measured data	14	2014
France	MACON	15	2014	"1 station, Background urban"	measured data	9	2014
France	MALROY	18	2014	"1 station, Industrial rural"	measured data	11	2014
France	MANOSQUE	18	2014	"1 station, Background urban"	measured data	11	2014
France	MARCQ-EN-BAROEUL	22	2014	"1 station, Background urban"	measured data	14	2014
France	MARIGNANE	24	2014	"1 station, Background urban"	measured data	15	2014
France	MARMANDE	22	2014	"1 station, Traffic urban"	measured data	13	2014
France	MARSEILLE	29	2014	"3 stations, Background urban"	measured data	17	2014
France	MARTIGUES	18	2014	"1 station, Background urban"	measured data	11	2014
France	MATOURY	21	2014	"1 station, Background suburban"	measured data	13	2014
France	MAUBEUGE	19	2014	"1 station, Background urban"	measured data	12	2014
France	MELUN	27	2014	"1 station, Traffic suburban"	measured data	17	2014
France	MERIGNAC	20	2014	"1 station, Traffic urban"	measured data	12	2014
France	METZ	22	2014	"3 stations, background urban, traffic, urban"	measured data	17	2014
France	MEZE	19	2014	"1 station, Traffic suburban"	measured data	16	2014
France	MIRAMAS	24	2014	"1 station, Background urban"	measured data	15	2014
France	MIRIBEL	20	2014	"1 station, Background suburban"	measured data	12	2014
France	MONTANDON	15	2014	"1 station, Background rural"	measured data	9	2014
France	MONTBELIARD	19	2014	"1 station, Background urban"	measured data	13	2014
France	MONTCEAU-LES-MINES	13	2014	"1 station, Background urban"	measured data	8	2014
France	MONT-DE-MARSAN	20	2014	"1 station, Traffic urban"	measured data	10	2014
France	MONTLUCON	16	2014	"1 station, Traffic urban"	measured data	10	2014
France	MONTPELLIER	20	2014	"2 stations, background urban, traffic urban"	measured data	16	2014
France	MULHOUSE	20	2014	"2 stations, Background urban"	measured data	12	2014
France	MUNCHHAUSEN	20	2014	"1 station, Background rural"	measured data	12	2014
France	NANCY	23	2014	"1 station, Background urban"	measured data	14	2014
France	NANTES	19	2014	"3 stations, Background urban"	measured data	13	2014
France	NEUVES-MAISONS	25	2014	"1 station, Background urban"	measured data	16	2014
France	NEVERS	13	2014	"1 station, Background urban"	measured data	8	2014
France	NICE	29	2014	"2 stations, Background urban"	measured data	14	2014
France	NIMES	21	2014	"2 stations, Background urban"	measured data	14	2014
France	NIORT	20	2014	"2 stations, Background urban"	measured data	10	2014
France	NOEUX-LES-MINES	17	2014	"2 stations, Background suburban"	measured data	10	2014
France	NOGENT-SUR-MARNE	20	2014	"1 station, Background urban"	measured data	12	2014
France	NOGENT-SUR-OISE	24	2014	"1 station, Background suburban"	measured data	15	2014
France	NOTRE-DAME-DE-BLIQUETUIT	16	2014	-	converted from PM2.5	10	2014
France	NUITS-SAINT-GEORGES	19	2014	"1 station, Traffic urban"	measured data	12	2014
France	ORLEANS	19	2014	"2 stations, background urban, traffic urban"	measured data	12	2014
France	OUTREAU	21	2014	"1 station, Background suburban"	measured data	13	2014
France	OYONNAX	13	2014	"1 station, Background urban"	measured data	8	2014
France	PANTIN	36	2014	"1 station, Traffic urban"	measured data	22	2014
France	PARAY-LE-FRESIL	12	2014	"1 station, Background rural"	measured data	9	2014
France	PARIS	28	2014	"8 stations, Background urban"	measured data	18	2014
France	PASSY	29	2014	"1 station, Background urban"	measured data	18	2014
France	PAU	22	2014	"1 station, Traffic urban"	measured data	14	2014
France	PEILLON	27	2014	"1 station, Industrial suburban"	measured data	17	2014
France	PERIGUEUX	16	2014	"1 station, Background urban"	measured data	10	2014
France	PERPIGNAN	17	2014	"2 stations, Background urban"	measured data	10	2014
France	PEYRUSSE-VIEILLE	15	2014	"1 station, Background rural"	measured data	10	2014
France	POINTE-A-PITRE	23	2014	"1 station, Background urban"	measured data	14	2014
France	POITIERS	18	2014	"3 stations, background urban, traffic, urban"	measured data	12	2014
France	PONT-A-MOUSSON	18	2014	"1 station, Background urban"	measured data	11	2014
France	PORT-DE-BOUC	22	2014	"1 station, Background urban"	measured data	14	2014
France	PORTES-LES-VALENCE	22	2014	"1 station, Background suburban"	measured data	14	2014
France	PORT-SAINT-LOUIS-DU-RHONE	20	2014	"1 station, Industrial rural"	measured data	12	2014
France	PRUNAY-LE-TEMPLE	17	2014	"1 station, Background suburban"	measured data	11	2014
France	PUSIGNAN	20	2014	"1 station, Background suburban"	measured data	12	2014
France	PUTEAUX	20	2014	"1 station, Background urban"	measured data	12	2014
France	QUIMPER	24	2014	"1 station, Traffic urban"	measured data	15	2014
France	RAGEADE	10	2014	"1 station, Background rural"	measured data	6	2014
France	RAMBOUILLET	20	2014	"1 station, Background suburban"	measured data	13	2014
France	REIMS	19	2014	"3 stations, background urban, traffic, urban"	measured data	13	2014
France	RENNES	20	2014	"2 stations, background urban, traffic urban"	measured data	12	2014
France	RIEUX	23	2014	"1 station, Industrial suburban"	measured data	14	2014
France	RIVE-DE-GIER	21	2014	"1 station, Traffic suburban"	measured data	13	2014
France	ROANNE	15	2014	"1 station, Background urban"	measured data	9	2014
France	ROGNAC	16	2014	"1 station, Industrial suburban"	measured data	11	2014
France	ROISEY	7	2014	"1 station, Background rural"	measured data	4	2014
France	ROMANS-SUR-ISERE	21	2014	"1 station, Background urban"	measured data	13	2014
France	ROUBAIX	27	2014	"1 station, Traffic urban"	measured data	20	2014
France	ROUEN	23	2014	"2 stations, Background urban"	measured data	13	2014
France	ROUMAZIERES-LOUBERT	18	2014	"1 station, Traffic urban"	measured data	11	2014
France	ROUSSILLON	23	2014	"1 station, Background urban"	measured data	14	2014
France	SAILLAT-SUR-VIENNE	17	2014	"1 station, Industrial rural"	measured data	11	2014
France	SAINT-BRIEUC	19	2014	"1 station, Background urban"	measured data	12	2014
France	SAINT-BRISSON	9	2014	"1 station, Background urban"	measured data	5	2014
France	SAINT-CHAMOND	18	2014	"1 station, Background urban"	measured data	8	2014
France	SAINT-DENIS	24	2014	"4 stations, background urban, traffic urban"	measured data	16	2014
France	SAINT-DENIS-D'ANJOU	16	2014	"1 station, Background rural"	measured data	12	2014
France	SAINT-DIZIER	17	2014	"1 station, Background urban"	measured data	11	2014
France	SAINTE-MARGUERITE-SUR-MER	15	2014	"1 station, Background rural"	measured data	9	2014
France	SAINTE-SAVINE	19	2014	"1 station, Background urban"	measured data	14	2014
France	SAINTE-SUZANNE	15	2014	"1 station, Industrial suburban"	measured data	9	2014
France	SAINT-ETIENNE	20	2014	"3 stations, Background suburban"	measured data	11	2014
France	SAINT-ETIENNE-DE-MONTLUC	16	2014	"1 station, Industrial suburban"	measured data	10	2014
France	SAINT-FONS	22	2014	"1 station, Background suburban"	measured data	14	2014
France	SAINT-GELY-DU-FESC	16	2014	"1 station, Background suburban"	measured data	10	2014
France	SAINT-GERMAIN-SUR-RHONE	14	2014	"1 station, Background urban"	measured data	7	2014
France	SAINT-JEAN-DE-BRAYE	22	2014	-	converted from PM2.5	14	2014
France	SAINT-JEAN-DE-MAURIENNE	13	2014	"1 station, Background rural"	measured data	8	2014
France	SAINT-JOSEPH	9	2014	"1 station, Background rural"	measured data	4	2014
France	SAINT-JULIEN-LES-METZ	16	2014	"1 station, Traffic suburban"	measured data	10	2014
France	SAINT-JULIEN-MONT-DENIS	20	2014	"1 station, Traffic suburban"	measured data	12	2014
France	SAINT-JUNIEN	17	2014	"1 station, Background suburban"	measured data	11	2014
France	SAINT-LAURENT-BLANGY	19	2014	"1 station, Background suburban"	measured data	12	2014
France	SAINT-LAURENT-DES-ARBRES	16	2014	"1 station, Background urban"	measured data	12	2014
France	SAINT-LO	17	2014	"1 station, Background urban"	measured data	11	2014
France	SAINT-LOUIS	17	2014	"1 station, Background urban"	measured data	11	2014
France	SAINT-MARTIN-D'HERES	21	2014	"1 station, Background rural"	measured data	13	2014
France	SAINT-MARTIN-DU-TERTRE	19	2014	-	converted from PM2.5	12	2014
France	SAINT-MICHEL-L'OBSERVATOIRE	12	2014	"1 station, Background rural"	measured data	7	2014
France	SAINT-NAZAIRE	17	2014	"1 station, Background urban"	measured data	10	2014
France	SAINT-NAZAIRE-LE-DESERT	10	2014	"1 station, Background rural"	measured data	7	2014
France	SAINT-PAUL	16	2014	"3 stations, background urban, traffic, urban"	measured data	6	2014
France	SAINT-PIERRE	22	2014	"2 stations, Background urban"	measured data	9	2014
France	SAINT-QUENTIN	19	2014	"1 station, Background urban"	measured data	14	2014
France	SAINT-REMY-SUR-AVRE	24	2014	"1 station, Traffic suburban"	measured data	15	2014
France	SALAISE-SUR-SANNE	21	2014	"1 station, Traffic suburban"	measured data	16	2014
France	SALOME	22	2014	"1 station, Background suburban"	measured data	14	2014
France	SALON-DE-PROVENCE	20	2014	"1 station, Background suburban"	measured data	12	2014
France	SALOUEL	19	2014	"1 station, Background suburban"	measured data	12	2014
France	SARREGUEMINES	14	2014	"1 station, Industrial rural"	measured data	9	2014
France	SARROLA-CARCOPINO	23	2014	"1 station, Industrial rural"	measured data	14	2014
France	SCHOELCHER	29	2014	"1 station, Background urban"	measured data	18	2014
France	SCHOENECK	25	2014	"1 station, Background suburban"	measured data	16	2014
France	SENS	15	2014	"1 station, Background urban"	measured data	9	2014
France	STRASBOURG	25	2014	"4 stations, background urban, traffic urban"	measured data	16	2014
France	TALENCE	19	2014	"1 station, Background urban"	measured data	13	2014
France	TARBES	19	2014	"1 station, Background urban"	measured data	12	2014
France	TARTAS	20	2014	"1 station, Industrial rural"	measured data	12	2014
France	TERNAY	21	2014	"1 station, Background suburban"	measured data	13	2014
France	THIONVILLE	20	2014	"2 stations, Background urban"	measured data	17	2014
France	TOULON	24	2014	"2 stations, Background urban"	measured data	10	2014
France	TOULOUSE	19	2014	"6 stations, Background urban"	measured data	12	2014
France	TOURCOING	24	2014	"1 station, Background urban"	measured data	15	2014
France	TOURS	19	2014	"2 stations, Background urban"	measured data	12	2014
France	TREMBLAY-EN-FRANCE	22	2014	"1 station, Background suburban"	measured data	14	2014
France	TROYES	20	2014	"1 station, Background urban"	measured data	12	2014
France	TULLE	16	2014	"1 station, Background urban"	measured data	9	2014
France	VAL-DE-REUIL	17	2014	"1 station, Background rural"	measured data	11	2014
France	VALENCE	19	2014	"1 station, Background urban"	measured data	14	2014
France	VALENCIENNES	23	2014	"2 stations, Background urban"	measured data	16	2014
France	VANNES	14	2014	"1 station, Background urban"	measured data	9	2014
France	VAULX-EN-VELIN	21	2014	"1 station, Background urban"	measured data	13	2014
France	VENACO	12	2014	"1 station, Background rural"	measured data	7	2014
France	VERNEUIL	14	2014	-	converted from PM2.5	9	2014
France	VESOUL	14	2014	"1 station, Background urban"	measured data	9	2014
France	VIENNE	24	2014	"1 station, Background urban"	measured data	14	2014
France	VIERZON	16	2014	"1 station, Background urban"	measured data	10	2014
France	VIF	17	2014	"1 station, Background suburban"	measured data	11	2014
France	VILLAGE-NEUF	18	2014	"1 station, Background suburban"	measured data	11	2014
France	VILLEFRANCHE-SUR-SAONE	21	2014	"1 station, Background urban"	measured data	13	2014
France	VILLEMANDEUR	18	2014	"1 station, Background urban"	measured data	11	2014
France	VILLEURBANNE	30	2014	"2 stations, Traffic urban"	measured data	18	2014
France	VILLIERS-EN-BOIS	12	2014	"1 station, Background rural"	measured data	7	2014
France	VITRY-SUR-SEINE	20	2014	"1 station, Background urban"	measured data	13	2014
France	VITTEL	18	2014	"1 station, Background suburban"	measured data	11	2014
France	VOIRON	21	2014	"1 station, Background urban"	measured data	13	2014
France	VOLMUNSTER	13	2014	"1 station, Background rural"	measured data	8	2014
France	WINGLES	19	2014	"1 station, Industrial suburban"	measured data	12	2014
Georgia	Abastumani	28	2014	"1 station, NA"	measured data	15	2014
Georgia	Tbilisi	55	2014	"1 station, background, urban"	measured data	29	2014
Germany	AACHEN	18	2013	"1 station, background, urban"	measured data	13	2013
Germany	AALEN	18	2013	"1 station, background, suburban"	measured data	12	2013
Germany	ALTENBURG	21	2013	"1 station, background, urban"	measured data	14	2013
Germany	ANNABERG-BUCHHOLZ	20	2013	"1 station, background, urban"	measured data	14	2013
Germany	ANSBACH	23	2013	"1 station, traffic, urban"	measured data	16	2013
Germany	ARZBERG	22	2013	-	converted from PM2.5	15	2013
Germany	ASCHAFFENBURG	19	2013	-	converted from PM2.5	13	2013
Germany	AUGSBURG	23	2013	"2 stations, background suburban, traffic, urban"	measured data	15	2013
Germany	BAD AROLSEN/KOHLGRUND	16	2013	"1 station, background, rural"	measured data	13	2013
Germany	BADEN-BADEN	15	2013	"1 station, background, suburban"	measured data	11	2013
Germany	BAMBERG	18	2013	"1 station, background, urban"	measured data	13	2013
Germany	BAUTZEN	22	2013	"1 station, background, urban"	measured data	15	2013
Germany	BEBRA	20	2013	"1 station, background, urban"	measured data	14	2013
Germany	BERLIN	24	2013	"8 stations, background, urban"	measured data	16	2013
Germany	BERNBURG	21	2013	"1 station, background, suburban"	measured data	14	2013
Germany	BERNHAUSEN	20	2013	"1 station, background, suburban"	measured data	14	2013
Germany	BIBERACH	17	2013	"1 station, background, suburban"	measured data	12	2013
Germany	BIELEFELD	20	2013	"1 station, background, urban"	measured data	14	2013
Germany	BITTERFELD	15	2013	"1 station, background, suburban"	measured data	10	2013
Germany	BONN	21	2013	"1 station, background, suburban"	measured data	14	2013
Germany	BORKEN	22	2013	"1 station, background, rural-nearcity"	measured data	15	2013
Germany	BORNA	23	2013	"1 station, traffic, urban"	measured data	16	2013
Germany	BOTTROP	23	2013	"1 station, industrial, urban"	measured data	16	2013
Germany	BREMEN	20	2013	"3 stations, background, urban"	measured data	13	2013
Germany	BRUNBüTTEL	21	2013	"1 station, industrial, suburban"	measured data	13	2013
Germany	BUCKOW	18	2013	"1 station, background, rural-regional"	measured data	13	2013
Germany	BURGHAUSEN	20	2013	"1 station, background, suburban"	measured data	16	2013
Germany	CARLSFELD	12	2013	"1 station, background, rural-remote"	measured data	9	2013
Germany	CHEMNITZ	20	2013	"1 station, background, urban"	measured data	14	2013
Germany	COBURG	19	2013	-	converted from PM2.5	13	2013
Germany	COLLM	16	2013	"1 station, background, rural-remote"	measured data	11	2013
Germany	COTTBUS	24	2013	"1 station, traffic, urban"	measured data	17	2013
Germany	DARMSTADT	22	2013	"2 stations, background, urban"	measured data	16	2013
Germany	DATTELN	20	2013	"1 station, traffic, urban"	measured data	17	2013
Germany	DESSAU	21	2013	"1 station, traffic, urban"	measured data	15	2013
Germany	DILLINGEN	18	2013	"1 station, background, urban"	measured data	13	2013
Germany	DORTMUND	24	2013	"1 station, background, urban"	measured data	16	2013
Germany	DREIssIGACKER	17	2013	"1 station, background, rural-regional"	measured data	12	2013
Germany	DRESDEN	27	2013	"1 station, traffic, urban"	measured data	17	2013
Germany	DUISBURG	23	2013	"2 stations, background suburban, industrial, urban"	measured data	16	2013
Germany	DUNZWEILER	15	2013	"1 station, background, rural"	measured data	10	2013
Germany	DüSSELDORF	26	2013	"2 stations, background, urban"	measured data	15	2013
Germany	EISENHüTTENSTADT	20	2013	"1 station, industrial, suburban"	measured data	15	2013
Germany	ERFURT	22	2013	"2 stations, background, urban"	measured data	15	2013
Germany	ERPFINGEN	13	2013	"1 station, background, rural-regional"	measured data	9	2013
Germany	ESSEN	24	2013	"2 stations, background, urban"	measured data	18	2013
Germany	FLENSBURG	21	2013	"1 station, traffic, urban"	measured data	13	2013
Germany	FRANKFURT	27	2013	"2 stations, traffic, urban"	measured data	18	2013
Germany	FRANKFURT A. MAIN	22	2013	"2 stations, background, urban"	measured data	16	2013
Germany	FREIBERG	21	2013	"1 station, background, urban"	measured data	15	2013
Germany	FREIBURG	16	2013	"1 station, background, urban"	measured data	13	2013
Germany	FRIEDRICHSHAFEN	19	2013	"1 station, background, urban"	measured data	13	2013
Germany	FüRTH/ODENWALD	14	2013	"1 station, background, rural"	measured data	10	2013
Germany	GEHLBERG	10	2013	"1 station, background, rural"	measured data	8	2013
Germany	GELSENKIRCHEN	25	2013	-	converted from PM2.5	18	2013
Germany	GERA	20	2013	"1 station, background, urban"	measured data	14	2013
Germany	GLAUCHAU	21	2013	"1 station, background, urban"	measured data	15	2013
Germany	GOETTINGEN	13	2013	"1 station, background, suburban"	measured data	11	2013
Germany	GöHLEN	15	2013	"1 station, background, rural"	measured data	11	2013
Germany	GöRLITZ	26	2013	"1 station, traffic, urban"	measured data	18	2013
Germany	HAMBURG	21	2013	"6 stations, background, urban"	measured data	14	2013
Germany	HANAU	22	2013	"1 station, background, urban"	measured data	15	2013
Germany	HATTINGEN	20	2013	"1 station, background, suburban"	measured data	14	2013
Germany	HEIDELBERG	20	2013	"1 station, background, urban"	measured data	14	2013
Germany	HERDORF	13	2013	"1 station, background, rural"	measured data	9	2013
Germany	HORTENKOPF	12	2013	"1 station, background, rural"	measured data	8	2013
Germany	HüRTH	24	2013	"1 station, industrial, suburban"	measured data	17	2013
Germany	INGOLSTADT	22	2013	"1 station, traffic, urban"	measured data	16	2013
Germany	KAISERSLAUTERN	18	2013	"1 station, background, urban"	measured data	13	2013
Germany	KARLSRUHE	19	2013	"1 station, background, urban"	measured data	14	2013
Germany	KASSEL	24	2013	"2 stations, background, urban"	measured data	14	2013
Germany	KEHL	20	2013	"1 station, industrial, suburban"	measured data	15	2013
Germany	KEHLHEIM	19	2013	"1 station, traffic, urban"	measured data	13	2013
Germany	KEMPTEN (Allgäu)	17	2013	"1 station, background, suburban"	measured data	12	2013
Germany	KLEINWALLSTADT	20	2013	-	converted from PM2.5	14	2013
Germany	KLINGENTAL	16	2013	"1 station, background, urban"	measured data	11	2013
Germany	KOBLENZ	21	2013	-	converted from PM2.5	14	2013
